номер региона;субъект;y1;y2;y3;y4;y5;y;год;x1;
285;Республика Адыгея;2447,00;30,70;1,50;-2488,10;108,90;-856934,50;2016,00;5,38;
286;Республика Калмыкия;2455,50;30,80;1,50;-2497,00;109,20;-860000,70;2016,00;5,38;
287;Республика Крым;2464,00;30,90;1,50;-2505,90;109,50;-863066,90;2016,00;5,38;
288;Краснодарский край;2472,50;31,00;1,50;-2514,80;109,80;-866133,10;2016,00;5,38;
289;Астраханская область;2481,00;31,10;1,50;-2523,70;110,10;-869199,30;2016,00;5,38;
290;Волгоградская область;2489,50;31,20;1,50;-2532,60;110,40;-872265,50;2016,00;5,38;
291;Ростовская область;2498,00;31,30;1,50;-2541,50;110,70;-875331,70;2016,00;5,38;
292;г. Севастополь;2506,50;31,40;1,50;-2550,40;111,00;-878397,90;2016,00;5,38;
293;Республика Дагестан;2515,00;31,50;1,50;-2559,30;111,30;-881464,10;2016,00;5,38;
294;Республика Ингушетия;2523,50;31,60;1,50;-2568,20;111,60;-884530,30;2016,00;5,38;
295;"Кабардино-Балкарская
Республика";2532,00;31,70;1,50;-2577,10;111,90;-887596,50;2016,00;5,38;
296;"Карачаево-Черкесская
Республика";2540,50;31,80;1,50;-2586,00;112,20;-890662,70;2016,00;5,38;
297;"Республика Северная
Осетия-Алания";2549,00;31,90;1,50;-2594,90;112,50;-893728,90;2016,00;5,38;
298;Чеченская Республика;2557,50;32,00;1,50;-2603,80;112,80;-896795,10;2016,00;5,38;
299;Ставропольский край;2566,00;32,10;1,50;-2612,70;113,10;-899861,30;2016,00;5,38;
300;Республика Башкортостан;2574,50;32,20;1,50;-2621,60;113,40;-902927,50;2016,00;5,38;
301;Республика Марий Эл;2583,00;32,30;1,50;-2630,50;113,70;-905993,70;2016,00;5,38;
302;Республика Мордовия;2591,50;32,40;1,50;-2639,40;114,00;-909059,90;2016,00;5,38;
303;Республика Татарстан;2600,00;32,50;1,50;-2648,30;114,30;-912126,10;2016,00;5,38;
304;Удмуртская Республика;2608,50;32,60;1,50;-2657,20;114,60;-915192,30;2016,00;5,38;
305;Чувашская Республика;2617,00;32,70;1,50;-2666,10;114,90;-918258,50;2016,00;5,38;
306;Пермский край;2625,50;32,80;1,50;-2675,00;115,20;-921324,70;2016,00;5,38;
307;Кировская область;2634,00;32,90;1,50;-2683,90;115,50;-924390,90;2016,00;5,38;
308;Нижегородская область;2642,50;33,00;1,50;-2692,80;115,80;-927457,10;2016,00;5,38;
309;Оренбургская область;2651,00;33,10;1,50;-2701,70;116,10;-930523,30;2016,00;5,38;
310;Пензенская область;2659,50;33,20;1,50;-2710,60;116,40;-933589,50;2016,00;5,38;
311;Самарская область;2668,00;33,30;1,50;-2719,50;116,70;-936655,70;2016,00;5,38;
312;Саратовская область;2676,50;33,40;1,50;-2728,40;117,00;-939721,90;2016,00;5,38;
313;Ульяновская область;2685,00;33,50;1,50;-2737,30;117,30;-942788,10;2016,00;5,38;
314;Курганская область;2693,50;33,60;1,50;-2746,20;117,60;-945854,30;2016,00;5,38;
315;Свердловская область;2702,00;33,70;1,50;-2755,10;117,90;-948920,50;2016,00;5,38;
316;Тюменская область;2710,50;33,80;1,50;-2764,00;118,20;-951986,70;2016,00;5,38;
317;"Ханты-Мансийский 
автономный округ - Югра";2719,00;33,90;1,50;-2772,90;118,50;-955052,90;2016,00;5,38;
318;"Ямало-Ненецкий 
автономный округ";2727,50;34,00;1,50;-2781,80;118,80;-958119,10;2016,00;5,38;
319;Челябинская область;2736,00;34,10;1,50;-2790,70;119,10;-961185,30;2016,00;5,38;
320;Республика Алтай;2744,50;34,20;1,50;-2799,60;119,40;-964251,50;2016,00;5,38;
321;Республика Тыва;2753,00;34,30;1,50;-2808,50;119,70;-967317,70;2016,00;5,38;
322;Республика Хакасия;2761,50;34,40;1,50;-2817,40;120,00;-970383,90;2016,00;5,38;
323;Алтайский край;2770,00;34,50;1,50;-2826,30;120,30;-973450,10;2016,00;5,38;
324;Красноярский край;2778,50;34,60;1,50;-2835,20;120,60;-976516,30;2016,00;5,38;
325;Иркутская область;2787,00;34,70;1,50;-2844,10;120,90;-979582,50;2016,00;5,38;
326;Kемеровская область;2795,50;34,80;1,50;-2853,00;121,20;-982648,70;2016,00;5,38;
327;Новосибирская область;2804,00;34,90;1,50;-2861,90;121,50;-985714,90;2016,00;5,38;
328;Омская область;2812,50;35,00;1,50;-2870,80;121,80;-988781,10;2016,00;5,38;
329;Томская область;2821,00;35,10;1,50;-2879,70;122,10;-991847,30;2016,00;5,38;
330;Республика Бурятия;2829,50;35,20;1,50;-2888,60;122,40;-994913,50;2016,00;5,38;
331;Республика Саха (Якутия);2838,00;35,30;1,50;-2897,50;122,70;-997979,70;2016,00;5,38;
332;Забайкальский край;2846,50;35,40;1,50;-2906,40;123,00;-1001045,90;2016,00;5,38;
333;Камчатский край;2855,00;35,50;1,50;-2915,30;123,30;-1004112,10;2016,00;5,38;
334;Приморский край;2863,50;35,60;1,50;-2924,20;123,60;-1007178,30;2016,00;5,38;
335;Белгородская область ;2872,00;35,70;1,50;-2933,10;123,90;-1010244,50;2016,00;5,38;
336;Брянская область ;2880,50;35,80;1,50;-2942,00;124,20;-1013310,70;2016,00;5,38;
337;Bладимирская область ;2889,00;35,90;1,50;-2950,90;124,50;-1016376,90;2016,00;5,38;
338;Bоронежская область ;2897,50;36,00;1,50;-2959,80;124,80;-1019443,10;2016,00;5,38;
339;Ивановская область ;2906,00;36,10;1,50;-2968,70;125,10;-1022509,30;2016,00;5,38;
340;Kалужская область ;2914,50;36,20;1,50;-2977,60;125,40;-1025575,50;2016,00;5,38;
341;Kостромская область ;2923,00;36,30;1,50;-2986,50;125,70;-1028641,70;2016,00;5,38;
342;Kурская область ;2931,50;36,40;1,50;-2995,40;126,00;-1031707,90;2016,00;5,38;
343;Липецкая область ;2940,00;36,50;1,50;-3004,30;126,30;-1034774,10;2016,00;5,38;
344;Mосковская область ;2948,50;36,60;1,50;-3013,20;126,60;-1037840,30;2016,00;5,38;
345;Oрловская область ;2957,00;36,70;1,50;-3022,10;126,90;-1040906,50;2016,00;5,38;
346;Pязанская область ;2965,50;36,80;1,50;-3031,00;127,20;-1043972,70;2016,00;5,38;
347;Cмоленская область ;2974,00;36,90;1,50;-3039,90;127,50;-1047038,90;2016,00;5,38;
348;Tамбовская область ;2982,50;37,00;1,50;-3048,80;127,80;-1050105,10;2016,00;5,38;
349;Tверская область ;2991,00;37,10;1,50;-3057,70;128,10;-1053171,30;2016,00;5,38;
350;Tульская область ;2999,50;37,20;1,50;-3066,60;128,40;-1056237,50;2016,00;5,38;
351;Ярославская область ;3008,00;37,30;1,50;-3075,50;128,70;-1059303,70;2016,00;5,38;
352;г.Москва ;3016,50;37,40;1,50;-3084,40;129,00;-1062369,90;2016,00;5,38;
353;Республика Карелия ;3025,00;37,50;1,50;-3093,30;129,30;-1065436,10;2016,00;5,38;
354;Республика Коми ;3033,50;37,60;1,50;-3102,20;129,60;-1068502,30;2016,00;5,38;
355;Aрхангельская область ;3042,00;37,70;1,50;-3111,10;129,90;-1071568,50;2016,00;5,38;
356;Ненецкий авт. округ ;3050,50;37,80;1,50;-3120,00;130,20;-1074634,70;2016,00;5,38;
357;Bологодская область ;3059,00;37,90;1,50;-3128,90;130,50;-1077700,90;2016,00;5,38;
358;Калининградская область ;3067,50;38,00;1,50;-3137,80;130,80;-1080767,10;2016,00;5,38;
359;Ленинградская область ;3076,00;38,10;1,50;-3146,70;131,10;-1083833,30;2016,00;5,38;
360;Mурманская область ;3084,50;38,20;1,50;-3155,60;131,40;-1086899,50;2016,00;5,38;
361;Hовгородская область ;3093,00;38,30;1,50;-3164,50;131,70;-1089965,70;2016,00;5,38;
362;Псковская область ;3101,50;38,40;1,50;-3173,40;132,00;-1093031,90;2016,00;5,38;
363;г. Санкт-Петербург ;3110,00;38,50;1,50;-3182,30;132,30;-1096098,10;2016,00;5,38;
364;Республика Адыгея ;3118,50;38,60;1,50;-3191,20;132,60;-1099164,30;2016,00;5,38;
365;Республика Калмыкия ;3127,00;38,70;1,50;-3200,10;132,90;-1102230,50;2016,00;5,38;
366;Kраснодарский край ;3135,50;38,80;1,50;-3209,00;133,20;-1105296,70;2016,00;5,38;
367;Aстраханская область ;3144,00;38,90;1,50;-3217,90;133,50;-1108362,90;2016,00;5,38;
368;Bолгоградская область ;3152,50;39,00;1,50;-3226,80;133,80;-1111429,10;2016,00;5,38;
369;Pостовская область ;3161,00;39,10;1,50;-3235,70;134,10;-1114495,30;2016,00;5,38;
370;Республика Крым ;3169,50;39,20;1,50;-3244,60;134,40;-1117561,50;2016,00;5,38;
371;г. Севастополь ;3178,00;39,30;1,50;-3253,50;134,70;-1120627,70;2016,00;5,38;
372;Республика Дагестан ;3186,50;39,40;1,50;-3262,40;135,00;-1123693,90;2016,00;5,38;
373;Республика Ингушетия ;3195,00;39,50;1,50;-3271,30;135,30;-1126760,10;2016,00;5,38;
374;Кабардино-Балкарская Республика ;3203,50;39,60;1,50;-3280,20;135,60;-1129826,30;2016,00;5,38;
375;Карачаево-Черкесская Республика ;3212,00;39,70;1,50;-3289,10;135,90;-1132892,50;2016,00;5,38;
376;Республика Северная Осетия-;3220,50;39,80;1,50;-3298,00;136,20;-1135958,70;2016,00;5,38;
377;Чеченская Республика ;3229,00;39,90;1,50;-3306,90;136,50;-1139024,90;2016,00;5,38;
378;Cтавропольский край ;3237,50;40,00;1,50;-3315,80;136,80;-1142091,10;2016,00;5,38;
379;Республика Башкортостан ;3246,00;40,10;1,50;-3324,70;137,10;-1145157,30;2016,00;5,38;
380;Республика Mарий Эл ;3254,50;40,20;1,50;-3333,60;137,40;-1148223,50;2016,00;5,38;
381;Республика Мордовия ;3263,00;40,30;1,50;-3342,50;137,70;-1151289,70;2016,00;5,38;
382;Республика Татарстан ;3271,50;40,40;1,50;-3351,40;138,00;-1154355,90;2016,00;5,38;
383;Удмуртская Республика ;3280,00;40,50;1,50;-3360,30;138,30;-1157422,10;2016,00;5,38;
384;Чувашская Республика ;3288,50;40,60;1,50;-3369,20;138,60;-1160488,30;2016,00;5,38;
385;Пермский край ;3297,00;40,70;1,50;-3378,10;138,90;-1163554,50;2016,00;5,38;
386;Кировская область ;3305,50;40,80;1,50;-3387,00;139,20;-1166620,70;2016,00;5,38;
387;Hижегородская область ;3314,00;40,90;1,50;-3395,90;139,50;-1169686,90;2016,00;5,38;
388;Oренбургская область ;3322,50;41,00;1,50;-3404,80;139,80;-1172753,10;2016,00;5,38;
389;Пензенская область ;3331,00;41,10;1,50;-3413,70;140,10;-1175819,30;2016,00;5,38;
390;Cамарская область ;3339,50;41,20;1,50;-3422,60;140,40;-1178885,50;2016,00;5,38;
391;Cаратовская область ;3348,00;41,30;1,50;-3431,50;140,70;-1181951,70;2016,00;5,38;
392;Ульяновская область ;3356,50;41,40;1,50;-3440,40;141,00;-1185017,90;2016,00;5,38;
393;Kурганская область ;3365,00;41,50;1,50;-3449,30;141,30;-1188084,10;2016,00;5,38;
394;Cвердловская область ;3373,50;41,60;1,50;-3458,20;141,60;-1191150,30;2016,00;5,38;
395;Tюменская область ;3382,00;41,70;1,50;-3467,10;141,90;-1194216,50;2016,00;5,38;
396;  Ханты-Мансийский авт.округ ;3390,50;41,80;1,50;-3476,00;142,20;-1197282,70;2016,00;5,38;
397;  Ямало-Ненецкий авт. округ ;3399,00;41,90;1,50;-3484,90;142,50;-1200348,90;2016,00;5,38;
398;Челябинская область ;3407,50;42,00;1,50;-3493,80;142,80;-1203415,10;2016,00;5,38;
399;Республика Алтай ;3416,00;42,10;1,50;-3502,70;143,10;-1206481,30;2016,00;5,38;
400;Республика Бурятия ;3424,50;42,20;1,50;-3511,60;143,40;-1209547,50;2016,00;5,38;
401;Республика Тыва ;3433,00;42,30;1,50;-3520,50;143,70;-1212613,70;2016,00;5,38;
402;Республика Хакасия ;3441,50;42,40;1,50;-3529,40;144,00;-1215679,90;2016,00;5,38;
403;Aлтайский край ;3450,00;42,50;1,50;-3538,30;144,30;-1218746,10;2016,00;5,38;
404;Забайкальский край ;3458,50;42,60;1,50;-3547,20;144,60;-1221812,30;2016,00;5,38;
405;Kрасноярский край ;3467,00;42,70;1,50;-3556,10;144,90;-1224878,50;2016,00;5,38;
406;Иркутская область ;3475,50;42,80;1,50;-3565,00;145,20;-1227944,70;2016,00;5,38;
407;Kемеровская область ;3484,00;42,90;1,50;-3573,90;145,50;-1231010,90;2016,00;5,38;
408;Hовосибирская область ;3492,50;43,00;1,50;-3582,80;145,80;-1234077,10;2016,00;5,38;
409;Oмская область ;3501,00;43,10;1,50;-3591,70;146,10;-1237143,30;2016,00;5,38;
410;Tомская область ;3509,50;43,20;1,50;-3600,60;146,40;-1240209,50;2016,00;5,38;
411;Республика Саха(Якутия) ;3518,00;43,30;1,50;-3609,50;146,70;-1243275,70;2016,00;5,38;
412;Камчатский край ;3526,50;43,40;1,50;-3618,40;147,00;-1246341,90;2016,00;5,38;
413;Приморский край ;3535,00;43,50;1,50;-3627,30;147,30;-1249408,10;2016,00;5,38;
414;Xабаровский край ;3543,50;43,60;1,50;-3636,20;147,60;-1252474,30;2016,00;5,38;
415;Aмурская область ;3552,00;43,70;1,50;-3645,10;147,90;-1255540,50;2016,00;5,38;
416;Mагаданская область ;3560,50;43,80;1,50;-3654,00;148,20;-1258606,70;2016,00;5,38;
417;Cахалинская область ;3569,00;43,90;1,50;-3662,90;148,50;-1261672,90;2016,00;5,38;
418;Еврейская авт. область ;3577,50;44,00;1,50;-3671,80;148,80;-1264739,10;2016,00;5,38;
419;Чукотский авт. округ ;3586,00;44,10;1,50;-3680,70;149,10;-1267805,30;2016,00;5,38;
420;Белгородская область ;3594,50;44,20;1,50;-3689,60;149,40;-1270871,50;2016,00;5,38;
421;Брянская область ;3603,00;44,30;1,50;-3698,50;149,70;-1273937,70;2016,00;5,38;
422;Bладимирская область ;3611,50;44,40;1,50;-3707,40;150,00;-1277003,90;2016,00;5,38;
423;Bоронежская область ;3620,00;44,50;1,50;-3716,30;150,30;-1280070,10;2016,00;5,38;
424;Ивановская область ;3628,50;44,60;1,50;-3725,20;150,60;-1283136,30;2016,00;5,38;
425;Kалужская область ;3637,00;44,70;1,50;-3734,10;150,90;-1286202,50;2016,00;5,38;
426;Kостромская область ;3645,50;44,80;1,50;-3743,00;151,20;-1289268,70;2016,00;5,38;
427;Kурская область ;3654,00;44,90;1,50;-3751,90;151,50;-1292334,90;2016,00;5,38;
428;Липецкая область ;3662,50;45,00;1,50;-3760,80;151,80;-1295401,10;2016,00;5,38;
429;Mосковская область ;3671,00;45,10;1,50;-3769,70;152,10;-1298467,30;2016,00;5,38;
430;Oрловская область ;3679,50;45,20;1,50;-3778,60;152,40;-1301533,50;2016,00;5,38;
431;Pязанская область ;3688,00;45,30;1,50;-3787,50;152,70;-1304599,70;2016,00;5,38;
432;Cмоленская область ;3696,50;45,40;1,50;-3796,40;153,00;-1307665,90;2016,00;5,38;
433;Tамбовская область ;3705,00;45,50;1,50;-3805,30;153,30;-1310732,10;2016,00;5,38;
434;Tверская область ;3713,50;45,60;1,50;-3814,20;153,60;-1313798,30;2016,00;5,38;
435;Tульская область ;3722,00;45,70;1,50;-3823,10;153,90;-1316864,50;2016,00;5,38;
436;Ярославская область ;3730,50;45,80;1,50;-3832,00;154,20;-1319930,70;2016,00;5,38;
437;г.Москва ;3739,00;45,90;1,50;-3840,90;154,50;-1322996,90;2016,00;5,38;
438;Республика Карелия ;3747,50;46,00;1,50;-3849,80;154,80;-1326063,10;2016,00;5,38;
439;Республика Коми ;3756,00;46,10;1,50;-3858,70;155,10;-1329129,30;2016,00;5,38;
440;Aрхангельская область ;3764,50;46,20;1,50;-3867,60;155,40;-1332195,50;2016,00;5,38;
441;Ненецкий авт. округ ;3773,00;46,30;1,50;-3876,50;155,70;-1335261,70;2016,00;5,38;
442;Bологодская область ;3781,50;46,40;1,50;-3885,40;156,00;-1338327,90;2016,00;5,38;
443;Калининградская область ;3790,00;46,50;1,50;-3894,30;156,30;-1341394,10;2016,00;5,38;
444;Ленинградская область ;3798,50;46,60;1,50;-3903,20;156,60;-1344460,30;2016,00;5,38;
445;Mурманская область ;3807,00;46,70;1,50;-3912,10;156,90;-1347526,50;2016,00;5,38;
446;Hовгородская область ;3815,50;46,80;1,50;-3921,00;157,20;-1350592,70;2016,00;5,38;
447;Псковская область ;3824,00;46,90;1,50;-3929,90;157,50;-1353658,90;2016,00;5,38;
448;г. Санкт-Петербург ;3832,50;47,00;1,50;-3938,80;157,80;-1356725,10;2016,00;5,38;
449;Республика Адыгея ;3841,00;47,10;1,50;-3947,70;158,10;-1359791,30;2016,00;5,38;
450;Республика Калмыкия ;3849,50;47,20;1,50;-3956,60;158,40;-1362857,50;2016,00;5,38;
451;Республика Крым ;3858,00;47,30;1,50;-3965,50;158,70;-1365923,70;2016,00;5,38;
452;Kраснодарский край ;3866,50;47,40;1,50;-3974,40;159,00;-1368989,90;2016,00;5,38;
453;Aстраханская область ;3875,00;47,50;1,50;-3983,30;159,30;-1372056,10;2016,00;5,38;
454;Bолгоградская область ;3883,50;47,60;1,50;-3992,20;159,60;-1375122,30;2016,00;5,38;
455;Pостовская область ;3892,00;47,70;1,50;-4001,10;159,90;-1378188,50;2016,00;5,38;
456;г. Севастополь ;3900,50;47,80;1,50;-4010,00;160,20;-1381254,70;2016,00;5,38;
457;Республика Дагестан ;3909,00;47,90;1,50;-4018,90;160,50;-1384320,90;2016,00;5,38;
458;Республика Ингушетия ;3917,50;48,00;1,50;-4027,80;160,80;-1387387,10;2016,00;5,38;
459;Кабардино-Балкарская республика ;3926,00;48,10;1,50;-4036,70;161,10;-1390453,30;2016,00;5,38;
460;Карачаево-Черкесская Республика;3934,50;48,20;1,50;-4045,60;161,40;-1393519,50;2016,00;5,38;
461;Республика Северная Осетия-Алания;3943,00;48,30;1,50;-4054,50;161,70;-1396585,70;2016,00;5,38;
462;Чеченская Республика ;3951,50;48,40;1,50;-4063,40;162,00;-1399651,90;2016,00;5,38;
463;Cтавропольский край ;3960,00;48,50;1,50;-4072,30;162,30;-1402718,10;2016,00;5,38;
464;Республика Башкортостан ;3968,50;48,60;1,50;-4081,20;162,60;-1405784,30;2016,00;5,38;
465;Республика Mарий Эл ;3977,00;48,70;1,50;-4090,10;162,90;-1408850,50;2016,00;5,38;
466;Республика Мордовия ;3985,50;48,80;1,50;-4099,00;163,20;-1411916,70;2016,00;5,38;
467;Республика Татарстан ;3994,00;48,90;1,50;-4107,90;163,50;-1414982,90;2016,00;5,38;
468;Удмуртская Республика ;4002,50;49,00;1,50;-4116,80;163,80;-1418049,10;2016,00;5,38;
469;Чувашская Республика ;4011,00;49,10;1,50;-4125,70;164,10;-1421115,30;2016,00;5,38;
470;Пермский край ;4019,50;49,20;1,50;-4134,60;164,40;-1424181,50;2016,00;5,38;
471;Кировская область ;4028,00;49,30;1,50;-4143,50;164,70;-1427247,70;2016,00;5,38;
472;Hижегородская область ;4036,50;49,40;1,50;-4152,40;165,00;-1430313,90;2016,00;5,38;
473;Oренбургская область ;4045,00;49,50;1,50;-4161,30;165,30;-1433380,10;2016,00;5,38;
474;Пензенская область ;4053,50;49,60;1,50;-4170,20;165,60;-1436446,30;2016,00;5,38;
475;Cамарская область ;4062,00;49,70;1,50;-4179,10;165,90;-1439512,50;2016,00;5,38;
476;Cаратовская область ;4070,50;49,80;1,50;-4188,00;166,20;-1442578,70;2016,00;5,38;
477;Ульяновская область ;4079,00;49,90;1,50;-4196,90;166,50;-1445644,90;2016,00;5,38;
478;Kурганская область ;4087,50;50,00;1,50;-4205,80;166,80;-1448711,10;2016,00;5,38;
479;Cвердловская область ;4096,00;50,10;1,50;-4214,70;167,10;-1451777,30;2016,00;5,38;
480;Tюменская область ;4104,50;50,20;1,50;-4223,60;167,40;-1454843,50;2016,00;5,38;
481;  Ханты-Мансийский авт.округ ;4113,00;50,30;1,50;-4232,50;167,70;-1457909,70;2016,00;5,38;
482;  Ямало-Ненецкий авт. округ ;4121,50;50,40;1,50;-4241,40;168,00;-1460975,90;2016,00;5,38;
483;Челябинская область ;4130,00;50,50;1,50;-4250,30;168,30;-1464042,10;2016,00;5,38;
484;Республика Алтай ;4138,50;50,60;1,50;-4259,20;168,60;-1467108,30;2016,00;5,38;
485;Республика Бурятия ;4147,00;50,70;1,50;-4268,10;168,90;-1470174,50;2016,00;5,38;
486;Республика Тыва ;4155,50;50,80;1,50;-4277,00;169,20;-1473240,70;2016,00;5,38;
487;Республика Хакасия ;4164,00;50,90;1,50;-4285,90;169,50;-1476306,90;2016,00;5,38;
488;Aлтайский край ;4172,50;51,00;1,50;-4294,80;169,80;-1479373,10;2016,00;5,38;
489;Забайкальский край ;4181,00;51,10;1,50;-4303,70;170,10;-1482439,30;2016,00;5,38;
490;Kрасноярский край ;4189,50;51,20;1,50;-4312,60;170,40;-1485505,50;2016,00;5,38;
491;Иркутская область ;4198,00;51,30;1,50;-4321,50;170,70;-1488571,70;2016,00;5,38;
492;Kемеровская область ;4206,50;51,40;1,50;-4330,40;171,00;-1491637,90;2016,00;5,38;
493;Hовосибирская область ;4215,00;51,50;1,50;-4339,30;171,30;-1494704,10;2016,00;5,38;
494;Oмская область ;4223,50;51,60;1,50;-4348,20;171,60;-1497770,30;2016,00;5,38;
495;Tомская область ;4232,00;51,70;1,50;-4357,10;171,90;-1500836,50;2016,00;5,38;
496;Республика Саха(Якутия) ;4240,50;51,80;1,50;-4366,00;172,20;-1503902,70;2016,00;5,38;
497;Камчатский край ;4249,00;51,90;1,50;-4374,90;172,50;-1506968,90;2016,00;5,38;
498;Приморский край ;4257,50;52,00;1,50;-4383,80;172,80;-1510035,10;2016,00;5,38;
499;Xабаровский край ;4266,00;52,10;1,50;-4392,70;173,10;-1513101,30;2016,00;5,38;
500;Aмурская область ;4274,50;52,20;1,50;-4401,60;173,40;-1516167,50;2016,00;5,38;
501;Mагаданская область ;4283,00;52,30;1,50;-4410,50;173,70;-1519233,70;2016,00;5,38;
502;Cахалинская область ;4291,50;52,40;1,50;-4419,40;174,00;-1522299,90;2016,00;5,38;
503;Еврейская авт. область ;4300,00;52,50;1,50;-4428,30;174,30;-1525366,10;2016,00;5,38;
504;Чукотский авт. округ ;4308,50;52,60;1,50;-4437,20;174,60;-1528432,30;2016,00;5,38;
505;Белгородская область ;4317,00;52,70;1,50;-4446,10;174,90;-1531498,50;2016,00;5,38;
506;Брянская область ;4325,50;52,80;1,50;-4455,00;175,20;-1534564,70;2016,00;5,38;
507;Bладимирская область ;4334,00;52,90;1,50;-4463,90;175,50;-1537630,90;2016,00;5,38;
508;Bоронежская область ;4342,50;53,00;1,50;-4472,80;175,80;-1540697,10;2016,00;5,38;
509;Ивановская область ;4351,00;53,10;1,50;-4481,70;176,10;-1543763,30;2016,00;5,38;
510;Калужская область ;4359,50;53,20;1,50;-4490,60;176,40;-1546829,50;2016,00;5,38;
511;Костромская область ;4368,00;53,30;1,50;-4499,50;176,70;-1549895,70;2016,00;5,38;
512;Курская область ;4376,50;53,40;1,50;-4508,40;177,00;-1552961,90;2016,00;5,38;
513;Липецкая область ;4385,00;53,50;1,50;-4517,30;177,30;-1556028,10;2016,00;5,38;
514;Московская область ;4393,50;53,60;1,50;-4526,20;177,60;-1559094,30;2016,00;5,38;
515;Орловская область ;4402,00;53,70;1,50;-4535,10;177,90;-1562160,50;2016,00;5,38;
516;Рязанская область ;4410,50;53,80;1,50;-4544,00;178,20;-1565226,70;2016,00;5,38;
517;Смоленская область ;4419,00;53,90;1,50;-4552,90;178,50;-1568292,90;2016,00;5,38;
518;Тамбовская область ;4427,50;54,00;1,50;-4561,80;178,80;-1571359,10;2016,00;5,38;
519;Тверская область ;4436,00;54,10;1,50;-4570,70;179,10;-1574425,30;2016,00;5,38;
520;Тульская область ;4444,50;54,20;1,50;-4579,60;179,40;-1577491,50;2016,00;5,38;
521;Ярославская область ;4453,00;54,30;1,50;-4588,50;179,70;-1580557,70;2016,00;5,38;
522;г. Москва ;4461,50;54,40;1,50;-4597,40;180,00;-1583623,90;2016,00;5,38;
523;Республика Карелия ;4470,00;54,50;1,50;-4606,30;180,30;-1586690,10;2016,00;5,38;
524;Республика Коми ;4478,50;54,60;1,50;-4615,20;180,60;-1589756,30;2016,00;5,38;
525;Архангельская область ;4487,00;54,70;1,50;-4624,10;180,90;-1592822,50;2016,00;5,38;
526;Ненецский автономный округ;4495,50;54,80;1,50;-4633,00;181,20;-1595888,70;2016,00;5,38;
527;Bологодская область ;4504,00;54,90;1,50;-4641,90;181,50;-1598954,90;2016,00;5,38;
528;Калининградская область ;4512,50;55,00;1,50;-4650,80;181,80;-1602021,10;2016,00;5,38;
529;Ленинградская область ;4521,00;55,10;1,50;-4659,70;182,10;-1605087,30;2016,00;5,38;
530;Мурманская область ;4529,50;55,20;1,50;-4668,60;182,40;-1608153,50;2016,00;5,38;
531;Новгородская область ;4538,00;55,30;1,50;-4677,50;182,70;-1611219,70;2016,00;5,38;
532;Псковская область ;4546,50;55,40;1,50;-4686,40;183,00;-1614285,90;2016,00;5,38;
533;г. Санкт-Петербург ;4555,00;55,50;1,50;-4695,30;183,30;-1617352,10;2016,00;5,38;
534;Республика Адыгея ;4563,50;55,60;1,50;-4704,20;183,60;-1620418,30;2016,00;5,38;
535;Республика Калмыкия ;4572,00;55,70;1,50;-4713,10;183,90;-1623484,50;2016,00;5,38;
536;Республика Крым ;4580,50;55,80;1,50;-4722,00;184,20;-1626550,70;2016,00;5,38;
537;Краснодарский край ;4589,00;55,90;1,50;-4730,90;184,50;-1629616,90;2016,00;5,38;
538;Астраханская область ;4597,50;56,00;1,50;-4739,80;184,80;-1632683,10;2016,00;5,38;
539;Bолгоградская область ;4606,00;56,10;1,50;-4748,70;185,10;-1635749,30;2016,00;5,38;
540;Ростовская область ;4614,50;56,20;1,50;-4757,60;185,40;-1638815,50;2016,00;5,38;
541;г. Севастополь ;4623,00;56,30;1,50;-4766,50;185,70;-1641881,70;2016,00;5,38;
542;Республика Дагестан ;4631,50;56,40;1,50;-4775,40;186,00;-1644947,90;2016,00;5,38;
543;Республика Ингушетия ;4640,00;56,50;1,50;-4784,30;186,30;-1648014,10;2016,00;5,38;
544;Кабардино-Балкарская Республика ;4648,50;56,60;1,50;-4793,20;186,60;-1651080,30;2016,00;5,38;
545;Карачаево-Черкесская Республика ;4657,00;56,70;1,50;-4802,10;186,90;-1654146,50;2016,00;5,38;
546;Республика Северная Осетия-Алания ;4665,50;56,80;1,50;-4811,00;187,20;-1657212,70;2016,00;5,38;
547;Чеченская Республика ;4674,00;56,90;1,50;-4819,90;187,50;-1660278,90;2016,00;5,38;
548;Ставропольский край ;4682,50;57,00;1,50;-4828,80;187,80;-1663345,10;2016,00;5,38;
549;Республика Башкортостан ;4691,00;57,10;1,50;-4837,70;188,10;-1666411,30;2016,00;5,38;
550;Республика Марий Эл ;4699,50;57,20;1,50;-4846,60;188,40;-1669477,50;2016,00;5,38;
551;Республика Мордовия ;4708,00;57,30;1,50;-4855,50;188,70;-1672543,70;2016,00;5,38;
552;Республика Татарстан ;4716,50;57,40;1,50;-4864,40;189,00;-1675609,90;2016,00;5,38;
553;Удмуртская Республика ;4725,00;57,50;1,50;-4873,30;189,30;-1678676,10;2016,00;5,38;
554;Чувашская Республика ;4733,50;57,60;1,50;-4882,20;189,60;-1681742,30;2016,00;5,38;
555;Пермский край ;4742,00;57,70;1,50;-4891,10;189,90;-1684808,50;2016,00;5,38;
556;Кировская область ;4750,50;57,80;1,50;-4900,00;190,20;-1687874,70;2016,00;5,38;
557;Нижегородская область ;4759,00;57,90;1,50;-4908,90;190,50;-1690940,90;2016,00;5,38;
